Source: https://docs.google.com/spreadsheets/d/10ym38nAt6UfymKKZpemMyUmkSki4grXnesZznxNHhLg/export?format=csv&gid=0

---

Fecha del Registro,Fecha del Turno,Turno,Encargado,Tipo de Registro,E/S,Categoría,Producto / Insumo,Código Artículo,Cantidad,Motivo / Detalle / Comentarios,Estado
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,PRODUCCIÓN,E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,129,,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,111,Faltaba líquido...lote reprocesado es del lote 4-8/01 del día 24 del 4 | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,Tapas Amanecer 111,,Asociado a reproceso de: MORRONES E/ESCAB X 450 GR,,Cargado en sistema

29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,OTRO,MORRONES E/ESCAB X 450 GR,,47,Faltaba liquido | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,Tapas Amanecer 47,,Asociado a reproceso de: Morrones por 450g,,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,OTRO,Puré tomate botella de 500cc,,111,"Las 111 son del turno mañanadel día 23 del 4 pertenecientes a los lotes 4-15/280 y 4-15/281 y sus ph son 30,915 y 20 ,915 respectivamente...a ambos lotes se les agregó  acido cítrico porce no tenian | ",Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,Tapas Botella de Tomate 111,,Asociado a reproceso de: Puré tomate botella de 500cc,,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,OTRO,Frascos de berengenas,,17,Faltaba aceite...lote 4-2/24....se tiraron 4 contenidos de los frascos por infiltración de agua en el proceso de esterilizacion | ,Cargado en sistema
29/4/2026 6:06:42,28/4/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,Tapas Amanecer 13,,Asociado a reproceso de: Frascos de berengenas,,Cargado en sistema
